"tract","Name","%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall"
42045401402,"Drexel Hill, Upper Darby, PA",0.8617
42101032100,"Northeast Philadelphia, Philadelphia, PA",0.8616
42101010400,"Mill Creek, Philadelphia, PA",0.8613
42101015101,"North Philadelphia, Philadelphia, PA",0.8612
42101035302,"Morrell Park, Philadelphia, PA",0.8606
42101002100,"Point Breeze, Philadelphia, PA",0.8593
42101007300,"Southwest Philadelphia, Philadelphia, PA",0.8591
34007601101,"Dudley, Camden, NJ",0.859
42101017500,"Fairhill, Philadelphia, PA",0.8587
42101030000,"Frankford, Philadelphia, PA",0.8585
42101024700,"East Germantown, Philadelphia, PA",0.8584
42101008302,"Cobbs Creek, Philadelphia, PA",0.8584
42101030502,"Lawncrest, Philadelphia, PA",0.8582
34007601300,"Marlton, Camden, NJ",0.8579
42101016901,"North Philadelphia, Philadelphia, PA",0.8579
42101036203,"Millbrook, Philadelphia, PA",0.8579
42101026600,"North Philadelphia, Philadelphia, PA",0.8578
42101016701,"North Philadelphia, Philadelphia, PA",0.8576
42101024200,"Germantown, Philadelphia, PA",0.8575
42101020102,"North Philadelphia, Philadelphia, PA",0.8573
42101028800,"Juniata Park/ Feltonville, Philadelphia, PA",0.8572
42101018002,"North Philadelphia, Philadelphia, PA",0.8568
42101008102,"West Philadelphia, Philadelphia, PA",0.8558
42101017300,"Allegheny West, Philadelphia, PA",0.8557
42101020300,"North Philadelphia, Philadelphia, PA",0.8556
42101029800,"Northeast Philadelphia, Philadelphia, PA",0.8556
42101021300,"Manayunk, Philadelphia, PA",0.8555
42045403502,"Glenolden, PA",0.8547
42045401700,"Lansdowne, PA",0.8546
42101034803,"Northeast Philadelphia, Philadelphia, PA",0.8544
42101031600,"Northeast Philadelphia, Philadelphia, PA",0.8542
42101010900,"Mantua, Philadelphia, PA",0.8541
42101019800,"Hunting Park, Philadelphia, PA",0.8541
42101009200,"West Powelton, Philadelphia, PA",0.8538
42101029200,"Lawncrest, Philadelphia, PA",0.8538
42045401101,"Drexel Hill, Upper Darby, PA",0.8538
42101013300,"Fairmount, Philadelphia, PA",0.8537
42101017100,"Allegheny West, Philadelphia, PA",0.8537
42101007102,"Southwest Philadelphia, Philadelphia, PA",0.8536
42101035301,"Morrell Park, Philadelphia, PA",0.8531
34007611000,"Gloucester City, NJ",0.8527
34007610300,"Cooper Grant, Camden, NJ",0.8523
34015500300,"National Park, NJ",0.8521
42101018800,"Harrowgate, Philadelphia, PA",0.8519
42101029400,"Frankford, Philadelphia, PA",0.8518
42101024500,"East Germantown, Philadelphia, PA",0.8515
42091204101,"Conshohocken, PA",0.8514
42045403401,"Folcroft, PA",0.851
34007601600,"Liberty Park, Camden, NJ",0.8509
42101011000,"East Parkside, Philadelphia, PA",0.8509
34007601200,"Stockton, Camden, NJ",0.8509
42101033200,"Mayfair, Philadelphia, PA",0.8507
42101002900,"Passyunk Square, Philadelphia, PA",0.8506
42101039000,"Northeast Philadelphia, Philadelphia, PA",0.8505
42101017000,"North Philadelphia, Philadelphia, PA",0.8503
42101003100,"South Philadelphia, Philadelphia, PA",0.8501
42101014000,"Cecil B. Moore, Philadelphia, PA",0.8499
