tract,Name,%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall,Individual Income,,,,
24510120300,"Harwood, Baltimore, MD",0.8664,20647,,,, Baltimore
24510250203,"Cherry Hill, Baltimore, MD",0.8662,20019,,,, Baltimore
24510250205,"Lakeland, Baltimore, MD",0.8655,21078,,,, Baltimore
24510260900,"Baltimore, MD",0.8652,,,,,#VALUE!
24510060400,"Baltimore, MD",0.8646,,,,,#VALUE!
24510151000,"Dorchester, Baltimore, MD",0.8643,22013,,,, Baltimore
24510180300,"Hollins Market, Baltimore, MD",0.8642,19083,,,, Baltimore
24510260202,"Parkside, Baltimore, MD",0.8638,23197,,,, Baltimore
24510270901,"New Northwood, Baltimore, MD",0.8615,26246,,,, Baltimore
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.8605,,,,, Halethorpe
24510260402,"Frankford, Baltimore, MD",0.8596,22371,,,, Baltimore
24510160801,"Edmondson, Baltimore, MD",0.8594,22336,,,, Baltimore
24510271001,"Baltimore, MD",0.8593,,,,,#VALUE!
24510150800,"Garwyn Oaks, Baltimore, MD",0.8582,24478,,,, Baltimore
24510210200,"Pigtown, Baltimore, MD",0.8581,18843,,,, Baltimore
24510200800,"Irvington, Baltimore, MD",0.857,23633,,,, Baltimore
24510260302,"Belair - Edison, Baltimore, MD",0.8556,25686,,,, Baltimore
24510261000,"Patterson Park, Baltimore, MD",0.8554,20252,,,, Baltimore
24510010200,"Patterson Park, Baltimore, MD",0.8552,24247,,,, Baltimore
24510190300,"Mount Clare, Baltimore, MD",0.8536,16142,,,, Baltimore
24510260102,"Frankford, Baltimore, MD",0.8511,27066,,,, Baltimore
24510250102,"Yale Heights, Baltimore, MD",0.8504,23958,,,, Baltimore
24510060200,"Baltimore, MD",0.8504,,,,,#VALUE!
24510200600,"Baltimore, MD",0.8501,,,,,#VALUE!
24510260404,"Baltimore Highlands, Baltimore, MD",0.8495,19267,,,, Baltimore
