"tract","Name","Individual_Income_Excluding_Spouse_rP_gP_pall"
42101001300,"Graduate Hospital, Philadelphia, PA",21254
42101007000,"Southwest Philadelphia, Philadelphia, PA",21251
42101017701,"North Philadelphia, Philadelphia, PA",21213
42101026500,"North Philadelphia, Philadelphia, PA",21204
42101008400,"Cobbs Creek, Philadelphia, PA",21158
34007601000,"Biedman, Camden, NJ",21124
42101014600,"North Philadelphia, Philadelphia, PA",21088
42101007700,"Spruce Hill, Philadelphia, PA",21034
42101024500,"East Germantown, Philadelphia, PA",21033
42101001500,"South Philadelphia, Philadelphia, PA",21001
42101010900,"Mantua, Philadelphia, PA",20984
42101009100,"West Powelton, Philadelphia, PA",20981
42101002500,"South Philadelphia, Philadelphia, PA",20908
42101002100,"Point Breeze, Philadelphia, PA",20826
42101027700,"Logan/ Ogontz/ Fern Rock, Philadelphia, PA",20771
42101002701,"Dickinson Narrows, Philadelphia, PA",20734
42101010500,"Mill Creek, Philadelphia, PA",20706
42101003002,"Newbold, Philadelphia, PA",20687
42101006500,"Philadelphia, PA",20684
42101015700,"Norris Square, Philadelphia, PA",20484
34007601300,"Marlton, Camden, NJ",20450
42101017201,"Allegheny West, Philadelphia, PA",20446
34007601102,"Rosedale, Camden, NJ",20428
42101003701,"South Philadelphia, Philadelphia, PA",20348
42101007400,"Southwest Philadelphia, Philadelphia, PA",20315
42101019700,"Hunting Park, Philadelphia, PA",20290
42101020200,"North Philadelphia, Philadelphia, PA",20241
34007610300,"Cooper Grant, Camden, NJ",20226
42101029300,"Frankford, Philadelphia, PA",20013
42101017100,"Allegheny West, Philadelphia, PA",19996
42101008500,"Cobbs Creek, Philadelphia, PA",19994
34007601500,"Whitman Park, Camden, NJ",19971
42101013100,"North Philadelphia, Philadelphia, PA",19960
42101009600,"Haddington, Philadelphia, PA",19839
42101009400,"Haddington, Philadelphia, PA",19795
34007601101,"Dudley, Camden, NJ",19646
34007600900,"Cramer Hill, Camden, NJ",19638
42101007102,"Southwest Philadelphia, Philadelphia, PA",19637
42101002200,"Newbold, Philadelphia, PA",19619
42101003100,"South Philadelphia, Philadelphia, PA",19582
42101008602,"Walnut Hill, Philadelphia, PA",19498
42101009200,"West Powelton, Philadelphia, PA",19481
42101008301,"Cobbs Creek, Philadelphia, PA",19466
42101013200,"North Philadelphia, Philadelphia, PA",19407
42101038300,"Hunting Park, Philadelphia, PA",19401
42101028000,"Olney-Oak Lane, Philadelphia, PA",19344
42101010300,"Haddington, Philadelphia, PA",19327
42101015101,"North Philadelphia, Philadelphia, PA",19310
42101017800,"North Philadelphia, Philadelphia, PA",19290
42101024700,"East Germantown, Philadelphia, PA",19222
42101016901,"North Philadelphia, Philadelphia, PA",19181
42101019900,"North Philadelphia, Philadelphia, PA",19148
34007601400,"Parkside, Camden, NJ",19138
34007610400,"Lanning Square, Camden, NJ",19130
42101011100,"Carroll Park, Philadelphia, PA",19092
34007602000,"Fairview, Camden, NJ",19088
34007601800,"Waterfront South, Camden, NJ",19005
42101015300,"North Philadelphia, Philadelphia, PA",18996
42101024600,"East Germantown, Philadelphia, PA",18995
42101016100,"East Kensington, Philadelphia, PA",18967
42101017702,"North Philadelphia, Philadelphia, PA",18965
42101016800,"North Philadelphia, Philadelphia, PA",18931
34007600200,"Gateway, Camden, NJ",18876
42101013700,"Brewerytown, Philadelphia, PA",18850
42101010400,"Mill Creek, Philadelphia, PA",18819
42101019800,"Hunting Park, Philadelphia, PA",18803
42101020101,"North Philadelphia, Philadelphia, PA",18749
34007600400,"Bergen Square, Camden, NJ",18548
42101001900,"Graduate Hospital, Philadelphia, PA",18345
42101010700,"Belmont, Philadelphia, PA",18331
42101013900,"Cecil B. Moore, Philadelphia, PA",18299
42101017300,"Allegheny West, Philadelphia, PA",18295
42101014900,"North Philadelphia, Philadelphia, PA",18254
42101019502,"Fairhill, Philadelphia, PA",18211
34007601600,"Liberty Park, Camden, NJ",18163
42101016200,"Norris Square, Philadelphia, PA",18080
42101000401,"Center City, Philadelphia, PA",18063
42101016300,"North Philadelphia, Philadelphia, PA",18058
42101020300,"North Philadelphia, Philadelphia, PA",17954
34007601900,"Morgan Village, Camden, NJ",17910
42101019501,"Fairhill, Philadelphia, PA",17810
42101001400,"Graduate Hospital, Philadelphia, PA",17775
42101017202,"Allegheny West, Philadelphia, PA",17679
42101002000,"Point Breeze, Philadelphia, PA",17678
42101013800,"Brewerytown, Philadelphia, PA",17670
42101015200,"Cecil B. Moore, Philadelphia, PA",17658
42101016500,"North Philadelphia, Philadelphia, PA",17654
42101017601,"Fairhill, Philadelphia, PA",17632
42101020400,"North Philadelphia, Philadelphia, PA",17571
42101015102,"North Philadelphia, Philadelphia, PA",17446
42101016600,"North Philadelphia, Philadelphia, PA",17439
42101015600,"Norris Square, Philadelphia, PA",17359
42101003200,"Point Breeze, Philadelphia, PA",17356
42101011000,"East Parkside, Philadelphia, PA",17295
42101014000,"Cecil B. Moore, Philadelphia, PA",17261
34007600800,"Pyne Poynt, Camden, NJ",17156
42101017500,"Fairhill, Philadelphia, PA",16902
42101010800,"Mantua, Philadelphia, PA",16803
34007601700,"Centerville, Camden, NJ",16713
42101013300,"Fairmount, Philadelphia, PA",16582
42101016902,"North Philadelphia, Philadelphia, PA",16573
42101037700,"North Philadelphia, Philadelphia, PA",16436
42101017400,"North Philadelphia, Philadelphia, PA",16373
42101016400,"North Philadelphia, Philadelphia, PA",16368
42101014700,"Cecil B. Moore, Philadelphia, PA",16258
42101020000,"North Philadelphia, Philadelphia, PA",16017
42101014100,"Ludlow, Philadelphia, PA",16016
42101016701,"North Philadelphia, Philadelphia, PA",15957
42101016702,"Glenwood, Philadelphia, PA",15837
42101014800,"Cecil B. Moore, Philadelphia, PA",15643
42101017602,"Fairhill, Philadelphia, PA",15534
42101014500,"Ludlow, Philadelphia, PA",15433
34007600700,"Cooper Point, Camden, NJ",15134
42045980000,"Philadelphia, PA",
42101980500,"Hunting Park, Philadelphia, PA",
42101036400,"Northeast Philadelphia, Philadelphia, PA",
42101980800,"West Philadelphia, Philadelphia, PA",
42101980400,"Southwest Philadelphia, Philadelphia, PA",
42101980100,"Northwest Philadelphia, Philadelphia, PA",
42101980900,"Eastwick, Philadelphia, PA",
42101980600,"South Philadelphia, Philadelphia, PA",
42101980700,"South Philadelphia, Philadelphia, PA",
42101980300,"Northeast Philadelphia, Philadelphia, PA",
42101989100,"Holmesburg, Philadelphia, PA",
42101012203,"Wynnefield Heights, Philadelphia, PA",
42101980000,"Fairmount Park, Philadelphia, PA",
