"tract","Name","%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall"
24005451300,"Middle River, MD",0.8425
24510080101,"Belair - Edison, Baltimore, MD",0.8422
24510280301,"Gwynn Oak, Baltimore, MD",0.8418
24005420702,"Dundalk, MD",0.8403
24005402403,"Gwynn Oak, Baltimore, MD",0.8396
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.8388
24510280101,"Reisterstown Station, Baltimore, MD",0.8372
24510280200,"Gwynn Oak, Baltimore, MD",0.8372
24510250600,"Brooklyn, Baltimore, MD",0.837
24510120600,"Old Goucher, Baltimore, MD",0.8358
24510280102,"Gwynn Oak, Baltimore, MD",0.8342
24510090400,"Better Waverly, Baltimore, MD",0.8336
24005420402,"Dundalk, MD",0.833
24005452400,"Dundalk, MD",0.8327
24005450300,"Essex, MD",0.8313
24005450400,"Essex, MD",0.8308
24005450100,"Rosedale, MD",0.8307
24510270902,"Perring Loch, Baltimore, MD",0.8299
24510260800,"Baltimore Highlands, Baltimore, MD",0.8296
24005421300,"Dundalk, MD",0.8291
24510270805,"Mid-Govans, Baltimore, MD",0.8268
24510260101,"Cedmont, Baltimore, MD",0.8257
24510230200,"South Baltimore, Baltimore, MD",0.8255
24510260401,"Armistead Gardens, Baltimore, MD",0.8251
24005402304,"Gwynn Oak, Baltimore, MD",0.8243
24510200500,"Mill Hill, Baltimore, MD",0.822
24510250303,"Morrell Park, Baltimore, MD",0.8219
24510280401,"Baltimore, MD",0.8201
24005441102,"Rosedale, MD",0.82
24510260501,"Joseph Lee, Baltimore, MD",0.819
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.8186
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.8177
24510260201,"Frankford, Baltimore, MD",0.8175
24005450200,"Essex, MD",0.8172
24005420800,"Dundalk, MD",0.8157
24510270903,"Hillen, Baltimore, MD",0.8154
24510261100,"Canton, Baltimore, MD",0.8149
24005491900,"Parkville, MD",0.8144
24005451200,"Middle River, MD",0.8138
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.8133
24510130804,"Hampden, Baltimore, MD",0.8129
24005420600,"Baltimore, MD",0.8112
24510270803,"Loch Raven, Baltimore, MD",0.8105
24005420401,"Dundalk, MD",0.8105
24510020100,"Upper Fells Point, Baltimore, MD",0.8098
24510010300,"Canton, Baltimore, MD",0.8093
24005492300,"Essex, MD",0.8093
24005452100,"Sparrows Point, MD",0.8083
24005420500,"Baltimore, MD",0.8074
24005440900,"Rosedale, MD",0.8071
24510250401,"Brooklyn, Baltimore, MD",0.807
24005420301,"Dundalk, MD",0.8066
24005492101,"Parkville, MD",0.8057
24003750102,"Baltimore, MD",0.8051
24510250206,"Morrell Park, Baltimore, MD",0.8038
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.802
24005430400,"Halethorpe, MD",0.8017
24005402404,"Gwynn Oak, Lochearn, MD",0.8002
24510190200,"Pratt Monroe, Baltimore, MD",0.7993
24005452500,"Dundalk, MD",0.7991
24005420303,"Dundalk, MD",0.799
24005421200,"Dundalk, MD",0.7978
24510270402,"Glenham-Belford, Baltimore, MD",0.7975
24005400800,"Catonsville, MD",0.797
24510270301,"Lauraville, Baltimore, MD",0.7964
24005421101,"Baltimore, MD",0.7953
24005441101,"Rosedale, MD",0.7934
24510260605,"Medford - Broening, Baltimore, MD",0.793
24510270401,"Glenham-Belford, Baltimore, MD",0.7918
24005401301,"Woodlawn, MD",0.7907
24005440800,"Rosedale, MD",0.7887
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.7887
24005430600,"Relay, Halethorpe, MD",0.7886
24510020200,"Upper Fells Point, Baltimore, MD",0.7877
24005491401,"Parkville, MD",0.7874
24005491500,"Parkville, MD",0.7861
24510260700,"Fifteenth Street, Baltimore, MD",0.7858
24005401302,"Gwynn Oak, Baltimore, MD",0.7849
24005420900,"Dundalk, MD",0.7846
24510270102,"Waltherson, Baltimore, MD",0.7844
24005402405,"Gwynn Oak, Baltimore, MD",0.7842
24510130806,"Woodberry, Baltimore, MD",0.7837
24005452300,"Baltimore, MD",0.7836
24510270101,"Arcadia, Baltimore, MD",0.7836
24005440400,"Baltimore, MD",0.7832
24005430800,"Halethorpe, MD",0.7828
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.7824
24005420100,"Dundalk, MD",0.782
24005440701,"Rosedale, MD",0.7816
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.7811
24510040200,"Downtown, Baltimore, MD",0.7808
24003750101,"Brooklyn Park, MD",0.7805
24510271900,"Glen, Baltimore, MD",0.7803
24510120700,"Remington, Baltimore, MD",0.7798
24003750201,"Brooklyn, Baltimore, MD",0.7797
24510240300,"Riverside, Baltimore, MD",0.779
24005492002,"Parkville, MD",0.7783
24005440600,"Rosedale, MD",0.7779
24005421000,"Dundalk, MD",0.7775
24510280403,"Westgate, Baltimore, MD",0.777
24005421102,"Dundalk, MD",0.7763
